"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Niveau 8";"Niveau 9";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"2A Filiation";"2AU";"2AU Demande formée par le ministère public visant à contester la filiation paternelle - dans le mariage -";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"2A Filiation";"2AV";"2AV Demande formée par le ministère public visant à contester la filiation paternelle - hors mariage-";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"2A Filiation";"2AZ";"2AZ Autres demandes relatives à la filiation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28A";"28A Demande en partage, ou contestations relatives au partage";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28B";"28B Demande en annulation d'un acte accompli sur un bien indivis, ou d'une convention d'indivision";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28C";"28C Demande relative aux pouvoirs de gestion des biens indivis";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28D";"28D Demande relative aux charges et revenus de l'indivision";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28E";"28E Demande relative à l'option successorale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28F";"28F Recours sur la succession exercé par un organisme social";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28H";"28H Demande d'apposition de scellés";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28I";"28I Contestation en matière de scellés";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"28 Partage, indivision, succession";"28Z";"28Z Autres demandes en matière de succession";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29A";"29A Demande en annulation, en réduction d'une libéralité ou d'une clause d'une libéralité";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29B";"29B Demande en révocation d'une libéralité ou en caducité d'un legs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29C";"29C Demande en délivrance d'un legs";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29D";"29D Demande relative aux modalités d'une libéralité faite au conjoint survivant";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29E";"29E Demande relative au rapport à succession";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29F";"29F Demande relative aux libéralités faites à l'Etat ou à des établissements publics";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.2. Droit de la famille";"29 Libéralités (donations et testaments)";"29Z";"29Z Autres demandes en matière de libéralités";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50A";"50A Demande en nullité de la vente ou d'une clause de la vente";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50B";"50B Demande en paiement du prix ou tendant à faire sanctionner le non-paiement du prix";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50C";"50C Demande tendant à obtenir la livraison de la chose ou à faire sanctionner le défaut de livraison";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50D";"50D Demande en garantie des vices cachés ou tendant à faire sanctionner un défaut de conformité";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50E";"50E Demande de garantie d'éviction";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50F";"50F Autres demandes tendant à faire sanctionner l'inexécution des obligations du vendeur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50G";"50G Demande relative à l'exécution d'une promesse unilatérale de vente ou d'un pacte de préférence ou d'un compromis de vente";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"50 Vente";"50Z";"50Z Autres demandes relatives à la vente";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"55 Contrat de transport";"55A";"55A Demande en paiement du prix du transport";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"55 Contrat de transport";"55B";"55B Action en responsabilité exercée contre le transporteur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"55 Contrat de transport";"55Z";"55Z Autres demandes relatives au contrat de transport";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56A";"56A Demande en nullité d'un contrat de prestation de services";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56B";"56B Demande en paiement du prix, ou des honoraires formée contre le client et/ou tendant à faire sanctionner le non-paiement du prix, ou des honoraires";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56C";"56C Demande en dommages-intérêts contre le prestataire de services pour mauvaise exécution";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56D";"56D Demande en restitution d'une chose confiée au prestataire de services et/ou en dommages-intérêts pour non restitution";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56E";"56E Demande en exécution formée par le client contre le prestataire de services";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56F";"56F Demande en résolution formée par le client pour inexécution de la prestation de services";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"56 Autres contrats de prestation de services";"56Z";"56Z Autres demandes relatives à un contrat de prestation de services";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"57 Contrats d'intermédiaire";"57A";"57A Demande en paiement ou en indemnisation formée par un intermédiaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"57 Contrats d'intermédiaire";"57B";"57B Demande en réparation des dommages causés par un intermédiaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"57 Contrats d'intermédiaire";"57X";"57X Contrats d'intermédiaire- nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58A";"58A Demande en nullité du contrat d'assurance, et/ou en remboursement des indemnités pour fausse déclaration intentionnelle ou réticence de la part de l'assuré formée par l'assureur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58B";"58B Autres demandes en nullité et/ou en remboursement des indemnités formées par l'assureur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58C";"58C Demande en nullité du contrat et/ou en restitution des primes, ou cotisations, formée par l'assuré";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58D";"58D Demande en paiement des primes, ou cotisations, formée contre l'assuré";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58E";"58E Demande en paiement de l'indemnité d'assurance dans une assurance de dommages";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58F";"58F Demande en paiement de l'indemnité d'assurance de responsabilité formée par l'assuré";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58G";"58G Demande en paiement de l'indemnité d'assurance dans une assurance de personnes";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58H";"58H Demande en paiement de l'indemnité d'assurance dans une assurance-crédit";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"58 Contrat d'assurance";"58Z";"58Z Demande relative à d'autres contrats d'assurance";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59A";"59A Demande en nullité d'un contrat ou des clauses relatives à un autre contrat";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59B";"59B Demande en paiement relative à un autre contrat";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59C";"59C Demande en exécution ou en dommages-intérêts pour mauvaise exécution d'un autre contrat";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59D";"59D Demande en paiement relative à un contrat non qualifié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59E";"59E Demande en exécution ou en dommages-intérêts pour mauvaise exécution d'un contrat non qualifié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59F";;;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59G";"59G Demande conjointe tendant à réviser le contrat pour imprévision";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59H";"59H Demande unilatérale tendant à réviser le contrat ou y mettre fin pour imprévision";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.3. Contrats";"59 Contrats divers";"59X";"59X Contrats divers- nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"60 Dommages causés par des véhicules";"60A";"60A Demande en réparation des dommages causés par des véhicules terrestres à moteur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"60 Dommages causés par des véhicules";"60B";"60B Demande en réparation des dommages causés par des véhicules terrestres sans moteur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"60 Dommages causés par des véhicules";"60C";"60C Demande en réparation des dommages causés par un véhicule aérien, maritime ou fluvial";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"61 Dommages causés par des animaux, des produits ou des services";"61A";"61A Demande en réparation des dommages causés par un animal";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"61 Dommages causés par des animaux, des produits ou des services";"61B";"61B Demande en réparation des dommages causés par un produit ou une prestation de services défectueux";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"62 Dommages causés par des immeubles";"62A";"62A Demande en réparation des dommages causés à une personne par un immeuble";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"62 Dommages causés par des immeubles";"62B";"62B Demande en réparation des dommages causés à une chose mobilière ou immobilière par un immeuble";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"62 Dommages causés par des immeubles";"62X";"62X Dommages causés par des immeubles- nature d'affaire indéterminée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"63 Dommages causés par l'activité professionnelle de certaines personnes qualifiées";"63A";"63A Demande en réparation des dommages causés par l'activité médicale ou para-médicale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"63 Dommages causés par l'activité professionnelle de certaines personnes qualifiées";"63B";"63B Demande en réparation des dommages causés par l'activité des auxiliaires de justice";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"63 Dommages causés par l'activité professionnelle de certaines personnes qualifiées";"63C";"63C Demande en réparation des dommages causés par l'activité d'un expert en diagnostic, un commissaire aux comptes, un commissaire aux apports, un commissaire à la fusion ou un expert-comptable";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"63 Dommages causés par l'activité professionnelle de certaines personnes qualifiées";"63D";"63D Demande en réparation des dommages causés par l'activité d'un prestataire de services d'investissement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64A";"64A Demande en réparation des dommages causés par une nuisance de l'environnement";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64B";"64B Demande en réparation des dommages causés par d'autres faits personnels";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64C";"64C Demande en réparation d'un préjudice écologique";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64D";"64D Action en prévention, en cessation ou en réparation d'une atteinte au secret des affaires";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64E";"64E Demande en réparation des dommages causés par un acte de terrorisme";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64F";"64F Demande de blocage, retrait ou déréférencement de contenus illicites accessibles en ligne";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"64 Dommages causés par l'action directe d'une personne";"64G";"64G Demande en réparation du préjudice causé par l'inexécution des obligations d'une société relatives au plan de vigilance";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"65 Dommages causés par l'action d'une personne dont on est responsable";"65A";"65A Demande en réparation des dommages causés par un mineur ou un majeur, formée contre les parents ou la personne contrôlant son mode de vie ou son activité";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"65 Dommages causés par l'action d'une personne dont on est responsable";"65B";"65B Demande en réparation des dommages causés par les salariés et apprentis, formée contre l'employeur";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"65 Dommages causés par l'action d'une personne dont on est responsable";"65C";"65C Demande en réparation des dommages causés par un fonctionnaire ou employé, formée contre l'Etat ou une collectivité territoriale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"66 Quasi-contrats";"66A";"66A Demande relative à une gestion d'affaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"66 Quasi-contrats";"66B";"66B Demande en restitution d'une chose ou en paiement d'un prix reçu indûment";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.4. Responsabilité et quasi-contrats";"66 Quasi-contrats";"66C";"66C Demande d'indemnisation pour enrichissement sans cause";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70A";"70A Revendication d'un bien immobilier";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70B";"70B Demande formée par le propriétaire de démolition d'une construction ou d'enlèvement d'une plantation faite par un tiers sur son terrain";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70C";"70C Demande d'expulsion et/ou d'indemnités dirigée contre les occupants des lieux";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70D";"70D Demande en bornage ou en clôture";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70E";"70E Demande relative aux murs, haies et fossés mitoyens";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70F";"70F Actions possessoires";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70G";"70G Demande d'ordonnance d'expropriation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70H";"70H Demande de fixation de l'indemnité d'expropriation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70I";"70I Demande de rétrocession d'un immeuble exproprié";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70J";"70J Demande relative à l'inscription ou à la radiation d'un droit ou d'une charge au Livre foncier";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70K";"70K Demande de constatation d'absence de base légale du transfert de propriété et sur ses conséquences";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"70 Propriété et possession immobilières";"70Z";"70Z Autres demandes relatives à la propriété ou à la possession d'un immeuble ou relevant de la compétence du juge de l'expropriation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71A";"71A Demande tendant à déclarer non écrite une clause du règlement de copropriété ou demande de nouvelle répartition des charges";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71B";"71B Demande de nomination du syndic lorsque l'assemblée générale convoquée à cet effet n'est pas parvenue à en désigner un";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71C";"71C Demande de désignation d'un administrateur provisoire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71D";"71D Demande de désignation d'un administrateur provisoire d'une copropriété en difficulté";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71E";"71E Demande de convocation d'une assemblée générale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71F";"71F Demande en nullité d'une assemblée générale ou d'une délibération de cette assemblée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71G";"71G Action en responsabilité exercée contre le syndicat";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71H";"71H Action en responsabilité exercée contre le syndic ou tendant à sa révocation";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71I";"71I Demande de remise de pièces ou de fonds détenus par le syndic";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71J";"71J Demande de désignation d'un observateur d'une copropriété en pré-difficulté";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71K";"71K Demande de placement de l'immeuble sous administration provisoire renforcée";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71L";"71L Demande de désignation des membres du conseil syndical, à défaut de désignation par l'assemblée générale à la majorité requise";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71M";"71M Demande de désignation d'un mandataire commun en cas d'indivision ou de démembrement du droit de propriété";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"71 Copropriété (I): organisation et administration";"71N";"71N Demande de désignation d'un mandataire ad hoc";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72A";"72A Demande en paiement des charges ou des contributions";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72B";"72B Demande présentée par ou contre le syndicat à l'occasion de la vente d'un lot";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72C";"72C Demande du syndicat tendant à la cessation et/ou à la sanction d'une violation des règles de la copropriété commise par un copropriétaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72D";"72D Demande d'un copropriétaire tendant à la cessation et/ou à la sanction d'une atteinte à la propriété ou à la jouissance d'un lot";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72E";"72E Demande en réparation du préjudice causé à un copropriétaire par des travaux régulièrement décidés par l'assemblée générale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72F";"72F Demande en inopposabilité de travaux décidés par l'assemblée générale";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72G";"72G Demande d'autorisation de travaux d'amélioration";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72H";"72H Demande des copropriétaires de résidences services tendant à la suspension ou la suppression d'un ou des services";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72I";"72I Demande en paiement de provisions ou sommes exigibles présentée devant le Président du TJ selon la procédure accélérée au fond (art. 19-2 de L. 1965)";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72J";"72J Demande en paiement de pénalités de retard dues par le syndic pour défaut de délivrance de pièces ou documents au profit du syndicat des copropriétaires";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"72 Copropriété (II): droits et obligations des copropriétaires";"72Z";"72Z Autres demandes relatives à la copropriété";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"73 Usufruit - Usage et habitation";"73A";"73A Demande formée par l'usufruitier";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"73 Usufruit - Usage et habitation";"73B";"73B Demande formée par le nu-propriétaire";;;;;;;;;;;
"Contentieux civils et sociaux";"Siège Non Spécialisé";"4. Civil NS";"4.5. Droit des biens";"73 Usufruit - Usage et habitation";"73X";"73X Usufruit - Usage et habitation- nature d'affaire indéterminée";;;;;;;;;;;
